Country,Years,Homicide,Burglary,Rape,Theft,Education,GDP,Unemployment,Migration
"Micronesia (Federated States of)",2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.6628660910883261,-0.1,-0.1
Monaco,2009,-0.1,-0.1,-0.1,-0.1,-0.1,1,-0.1,-0.1
Mongolia,2009,0.4846664023289891,0.6944765579741957,0.5535994554034877,0.6574846347575213,-0.1,0.6373697859709856,0.5169925001442313,-0.1
Montenegro,2009,0.25605935768362686,0.7390203180086448,0,0.549223444710353,-0.1,0.7393602875987251,0.849585502688717,-0.1
Montserrat,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.7885655536773458,-0.1,-0.1
Morocco,2009,0,0.27467896825126037,0.3585583192452152,0.6614374666964815,-0.1,0.6697588532633917,0.6339850002884624,-0.1
Mozambique,2009,0.25605935768362686,0.30415459390284527,-0.1,0.35965690651118887,-0.1,0.5146183137287585,-0.1,-0.1
Myanmar,2009,0.16155546744299637,-0.1,0,0.16643354475825087,-0.1,0.5422757984046963,-0.1,-0.1
Namibia,2009,0.67367418281025,-0.1,-0.1,-0.1,-0.1,0.6984677494848125,-0.1,-0.1
Nauru,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.7212260008735343,-0.1,-0.1
Nepal,2009,0.25605935768362686,-0.1,-0.1,-0.1,-0.1,0.517832061772827,-0.1,-0.1
Netherlands,2009,0,0.9834850231098807,0.5535994554034877,0.9990401252273922,-0.1,0.9107234238167029,0.3169925001442312,-0.1
"Netherlands Antilles [former. 1986 to 2010]",2009,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.6643856189774724,-0.1
"New Caledonia",2009,0.25605935768362686,-0.1,-0.1,-0.1,-0.1,0.8795441676614842,0.7614709844115207,-0.1
"New Zealand",2009,-0.1,0.9585968041065338,0.725854417611447,0.9548469662240848,-0.1,0.8592632540908118,0.5169925001442313,-0.1
"New Zealand****",2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Nicaragua,2009,0.6150990041544092,-0.1,-0.1,-0.1,-0.1,0.6124274916627442,0.6,-0.1
Niger,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.49005480155384107,-0.1,-0.1
Nigeria,2009,-0.1,-0.1,-0.1,0.3911554221063478,-0.1,0.6268315324294813,-0.1,-0.1
Niue,2009,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Norway,2009,0,0.8182354962400988,0.6782733522932056,0.95129233408606,-0.1,0.9472504733481335,0.3169925001442312,-0.1
Oman,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.8198321312805898,-0.1,-0.1
Pakistan,2009,0.4846664023289891,-0.1,-0.1,-0.1,-0.1,0.5770345381983806,0.4643856189774725,-0.1
Palau,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.7693617880384175,-0.1,-0.1
Panama,2009,0.7308061663181457,0.5929159258293483,0.6985404826001222,0.7484810626524881,-0.1,0.7483241135534459,0.5614709844115208,-0.1
"Papua New Guinea",2009,0.5366756461815503,-0.1,-0.1,-0.1,-0.1,0.6253857021456285,-0.1,-0.1
Paraguay,2009,0.5978262684089138,-0.1,0.6985404826001222,0.7347810270164454,-0.1,0.6597616905900652,0.5614709844115208,-0.1
Peru,2009,0.5366756461815503,0.3486001072523802,0.6985404826001222,0.6172897442731828,-0.1,0.6993380705938528,0.39999999999999997,-0.1
Philippines,2009,-0.1,-0.1,0.3991767926023775,0.5654093585991752,-0.1,0.6306152217892022,0.5614709844115208,-0.1
Philippines*,2009,0.45354353671141284,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Poland,2009,0,0.7741668523666847,0.3088453256022203,0.7448970226261512,-0.1,0.7838396187310767,0.6,-0.1
Portugal,2009,0,0.8116018348669185,0.3088453256022203,0.8208657331050181,-0.1,0.8427262660012416,0.6643856189774724,-0.1
"Puerto Rico",2009,0.7407257600126159,0.8203746954099201,0.15442266280111014,0.8057875562185431,-0.1,0.8527030945490802,0.7813781191217037,-0.1
Qatar,2009,-0.1,-0.1,-0.1,-0.1,-0.1,0.9241364999973435,-0.1,-0.1
"Republic of Korea",2009,-0.1,0.7177548028086136,-0.1,0.751961202694123,-0.1,0.8243128762887953,0.39999999999999997,-0.1
"Republic of Moldova",2009,0.41761482512662323,0.5685354146250922,0.3991767926023775,0.6491657113240104,-0.1,0.6033916613888481,0.5169925001442313,-0.1
Reunion,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
Romania,2009,-0.1,0.5317194194198872,0.3585583192452152,0.65077005267933,-0.1,0.7557565966382807,0.5614709844115208,-0.1
Romania***,2009,0.16155546744299637,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1
"Russian Federation",2009,-0.1,0.737538889451989,0.3088453256022203,0.8069503393984097,-0.1,0.7595644599043999,0.6,-0.1
Rwanda,2009,0.32311093488599274,0.39571424998659877,0.24475412980126737,-0.1,-0.1,0.526321194989571,-0.1,-0.1
R̩union,2009,-0.1,-0.1,-0.1,-0.1,-0.1,-0.1,0.9509775004326937,-0.1
